Country,Capital,Continent,Population
South Georgia,King Edward Point,Antarctic,30
Grenada,St. George's,Americas,112519
Switzerland,Bern,Europe,8654622
Sierra Leone,Freetown,Africa,7976985
Hungary,Budapest,Europe,9749763
Taiwan,Taipei,Asia,23503349
Wallis and Futuna,Mata-Utu,Oceania,11750
Barbados,Bridgetown,Americas,287371
Pitcairn Islands,Adamstown,Oceania,56
Ivory Coast,Yamoussoukro,Africa,26378275
Tunisia,Tunis,Africa,11818618
Italy,Rome,Europe,59554023
Benin,Porto-Novo,Africa,12123198
Indonesia,Jakarta,Asia,273523621
Cape Verde,Praia,Africa,555988
Saint Kitts and Nevis,Basseterre,Americas,53192
Laos,Vientiane,Asia,7275556
Caribbean Netherlands,Kralendijk,Americas,25987
Uganda,Kampala,Africa,45741000
Andorra,Andorra la Vella,Europe,77265
Burundi,Gitega,Africa,11890781
South Africa,Pretoria,Africa,59308690
France,Paris,Europe,67391582
Libya,Tripoli,Africa,6871287
Mexico,Mexico City,Americas,128932753
Gabon,Libreville,Africa,2225728
Northern Mariana Islands,Saipan,Oceania,57557
North Macedonia,Skopje,Europe,2077132
China,Beijing,Asia,1402112000
Yemen,Sana'a,Asia,29825968
Saint Barthélemy,Gustavia,Americas,4255
Guernsey,St. Peter Port,Europe,62999
Solomon Islands,Honiara,Oceania,686878
Svalbard and Jan Mayen,Longyearbyen,Europe,2562
Faroe Islands,Tórshavn,Europe,48865
Uzbekistan,Tashkent,Asia,34232050
Egypt,Cairo,Africa,102334403
Senegal,Dakar,Africa,16743930
Sri Lanka,Sri Jayawardenepura Kotte,Asia,21919000
Palestine,Ramallah,Asia,4803269
Bangladesh,Dhaka,Asia,164689383
Peru,Lima,Americas,32971846
Singapore,Singapore,Asia,5685807
Turkey,Ankara,Asia,84339067
Afghanistan,Kabul,Asia,40218234
Aruba,Oranjestad,Americas,106766
Cook Islands,Avarua,Oceania,18100
United Kingdom,London,Europe,67215293
Zambia,Lusaka,Africa,18383956
Finland,Helsinki,Europe,5530719
Niger,Niamey,Africa,24206636
Christmas Island,Flying Fish Cove,Oceania,2072
Tokelau,Fakaofo,Oceania,1411
Guinea-Bissau,Bissau,Africa,1967998
Azerbaijan,Baku,Asia,10110116
Réunion,Saint-Denis,Africa,840974
Djibouti,Djibouti,Africa,988002
North Korea,Pyongyang,Asia,25778815
Mauritius,Port Louis,Africa,1265740
Montserrat,Plymouth,Americas,4922
United States Virgin Islands,Charlotte Amalie,Americas,106290
Colombia,Bogotá,Americas,50882884
Greece,Athens,Europe,10715549
Croatia,Zagreb,Europe,4047200
Morocco,Rabat,Africa,36910558
Algeria,Algiers,Africa,44700000
Antarctica,N/A,Antarctic,1000
Netherlands,Amsterdam,Europe,16655799
Sudan,Khartoum,Africa,43849269
Fiji,Suva,Oceania,896444
Liechtenstein,Vaduz,Europe,38137
Nepal,Kathmandu,Asia,29136808
Puerto Rico,San Juan,Americas,3194034
Georgia,Tbilisi,Asia,3714000
Pakistan,Islamabad,Asia,220892331
Monaco,Monaco,Europe,39244
Botswana,Gaborone,Africa,2351625
Lebanon,Beirut,Asia,6825442
Papua New Guinea,Port Moresby,Oceania,8947027
Mayotte,Mamoudzou,Africa,226915
Dominican Republic,Santo Domingo,Americas,10847904
Norfolk Island,Kingston,Oceania,2302
Bouvet Island,N/A,Antarctic,0
Qatar,Doha,Asia,2881060
Madagascar,Antananarivo,Africa,27691019
India,New Delhi,Asia,1380004385
Syria,Damascus,Asia,17500657
Montenegro,Podgorica,Europe,621718
Eswatini,Mbabane,Africa,1160164
Paraguay,Asunción,Americas,7132530
El Salvador,San Salvador,Americas,6486201
Ukraine,Kyiv,Europe,44134693
Isle of Man,Douglas,Europe,85032
Namibia,Windhoek,Africa,2540916
United Arab Emirates,Abu Dhabi,Asia,9890400
Bulgaria,Sofia,Europe,6927288
Greenland,Nuuk,Americas,56367
Germany,Berlin,Europe,83240525
Cambodia,Phnom Penh,Asia,16718971
Iraq,Baghdad,Asia,40222503
French Southern and Antarctic Lands,Port-aux-Français,Antarctic,400
Sweden,Stockholm,Europe,10353442
Cuba,Havana,Americas,11326616
Kyrgyzstan,Bishkek,Asia,6591600
Russia,Moscow,Europe,144104080
Malaysia,Kuala Lumpur,Asia,32365998
São Tomé and Príncipe,São Tomé,Africa,219161
Cyprus,Nicosia,Europe,1207361
Canada,Ottawa,Americas,38005238
Malawi,Lilongwe,Africa,19129955
Saudi Arabia,Riyadh,Asia,34813867
Bosnia and Herzegovina,Sarajevo,Europe,3280815
Ethiopia,Addis Ababa,Africa,114963583
Spain,Madrid,Europe,47351567
Slovenia,Ljubljana,Europe,2100126
Oman,Muscat,Asia,5106622
Saint Pierre and Miquelon,Saint-Pierre,Americas,6069
Macau,N/A,Asia,649342
San Marino,City of San Marino,Europe,33938
Lesotho,Maseru,Africa,2142252
Marshall Islands,Majuro,Oceania,59194
Sint Maarten,Philipsburg,Americas,40812
Iceland,Reykjavik,Europe,366425
Luxembourg,Luxembourg,Europe,632275
Argentina,Buenos Aires,Americas,45376763
Turks and Caicos Islands,Cockburn Town,Americas,38718
Nauru,Yaren,Oceania,10834
Cocos (Keeling) Islands,West Island,Oceania,544
Western Sahara,El Aaiún,Africa,510713
Dominica,Roseau,Americas,71991
Costa Rica,San José,Americas,5094114
Australia,Canberra,Oceania,25687041
Thailand,Bangkok,Asia,69799978
Haiti,Port-au-Prince,Americas,11402533
Tuvalu,Funafuti,Oceania,11792
